Wavelength (nm),Normalized Spectral Power Distribution
664,0.000500651
665,0.000500651
666,0.000400521
667,0.000400521
668,0.000400521
669,0.000400521
670,0.000400521
671,0.000400521
672,0.000400521
673,0.000400521
674,0.000400521
675,0.000300391
676,0.000400521
677,0.000400521
678,0.000400521
679,0.000400521
680,0.000400521
681,0.000400521
682,0.000300391
683,0.000300391
684,0.000300391
685,0.000300391
686,0.000300391
687,0.000300391
688,0.00020026
689,0.000300391
690,0.000300391
691,0.000400521
692,0.000300391
693,0.00020026
694,0.000300391
695,0.000300391
696,0.000300391
697,0.00020026
698,0.000300391
699,0.00020026
700,0.00020026
701,0.00020026
702,0.00020026
703,0.000300391
704,0.00010013
705,0.00020026
706,0.00020026
707,0.00010013
708,0.00020026
709,0.00020026
710,0.00020026
711,0.00020026
712,0.00020026
713,0.00020026
714,0.00020026
715,0.00020026
716,0.00020026
717,0.00010013
718,0.00020026
719,0.00020026
720,0.00020026
721,0.00010013
722,0.00010013
723,0.00010013
724,0.00010013
725,0.00010013
726,0.00010013
727,0.00010013
728,0.00010013
729,0.00010013
730,0.00010013
731,0.00010013
732,0.00010013
733,0.00010013
734,0.00010013
735,0.00010013
736,0.00010013
737,0.00010013
738,0
739,0
740,0.00010013
741,0.00010013
742,0.00010013
743,0.00010013
744,0.00010013
745,0
746,0
747,0.00010013
748,0.00010013
749,0.00010013
750,0.00010013
751,0.00010013
752,0.00010013
753,0
754,0
755,0.00010013
756,0.00010013
757,0.00010013
758,0
759,0.00010013
760,0.00010013
761,0
762,0
763,0
764,0
765,0
766,0.00010013
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
